wannier90 format for mvmcdry
        10
       216
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -3   -3   -1    4    5   0.1175191868  -0.0000290733
   -3   -3   -1    4    6   0.1354493221  -0.0001871555
   -3   -3   -1    4    7   0.1346423030  -0.0001826788
   -3   -3   -1    4    8   0.1343703462  -0.0001810148
   -3   -3   -1    4    9   0.1345942750  -0.0001826951
   -3   -3   -1    4   10   0.1359127245  -0.0001915526
   -3   -3   -1    5    1   0.1177350029  -0.0000313750
   -3   -3   -1    5    2   0.1175156961  -0.0000292385
   -3   -3   -1    5    3   0.1174681787  -0.0000290628
   -3   -3   -1    5    4   0.1175140296  -0.0000293609
   -3   -3   -1    5    5   0.1179410296  -0.0000338867
   -3   -3   -1    5    6   0.1367392346  -0.0001967397
   -3   -3   -1    5    7   0.1359138615  -0.0001919219
   -3   -3   -1    5    8   0.1357274006  -0.0001896768
   -3   -3   -1    5    9   0.1359105569  -0.0001915994
   -3   -3   -1    5   10   0.1371670549  -0.0002012370
   -3   -3   -1    6    1   0.0665884304   0.0004150059
   -3   -3   -1    6    2   0.0663087783   0.0004145584
   -3   -3   -1    6    3   0.0665127527   0.0004125746
   -3   -3   -1    6    4   0.0663092214   0.0004141456
   -3   -3   -1    6    5   0.0671551386   0.0004137405
   -3   -3   -1    6    6   0.1175262454  -0.0000289808
   -3   -3   -1    6    7   0.1173203377  -0.0000266500
   -3   -3   -1    6    8   0.1172541860  -0.0000263842
   -3   -3   -1    6    9   0.1173209751  -0.0000266859
   -3   -3   -1    6   10   0.1177380198  -0.0000314918
   -3   -3   -1    7    1   0.0663098979   0.0004145957
   -3   -3   -1    7    2   0.0661194561   0.0004147033
   -3   -3   -1    7    3   0.0663081990   0.0004126460
   -3   -3   -1    7    4   0.0660665486   0.0004141235
   -3   -3   -1    7    5   0.0668835380   0.0004134020
   -3   -3   -1    7    6   0.1173185479  -0.0000266284
   -3   -3   -1    7    7   0.1170542068  -0.0000244208
   -3   -3   -1    7    8   0.1169980788  -0.0000241312
   -3   -3   -1    7    9   0.1171087900  -0.0000242599
   -3   -3   -1    7   10   0.1175188277  -0.0000293192
   -3   -3   -1    8    1   0.0665130152   0.0004126367
   -3   -3   -1    8    2   0.0663075775   0.0004126552
   -3   -3   -1    8    3   0.0665365629   0.0004107598
   -3   -3   -1    8    4   0.0663077902   0.0004123086
   -3   -3   -1    8    5   0.0670669108   0.0004114186
   -3   -3   -1    8    6   0.1172491701  -0.0000263019
   -3   -3   -1    8    7   0.1169948872  -0.0000241020
